记录测试时间，测试总数，pass数量，失败数量 用‘=’拼接
2017-10-16 20:54:56.323951=3=3=0 
2018-02-27 12:31:33.299382=3=3=0 
2018-03-04 10:53:45.271985=3=3=0 
2018-03-04 11:40:17.056985=3=2=1 
2018-03-04 11:41:18.958985=3=2=1 
2018-03-04 11:42:19.948985=3=3=0 
2018-03-05 16:15:56.783987=3=3=0 
2018-03-05 16:51:45.397987=3=3=0 
2018-03-05 17:17:31.521987=3=3=0 
2018-03-05 17:18:21.874987=3=3=0 
2018-03-05 18:41:42.118987=3=3=0 
2018-03-05 18:44:17.435987=3=3=0 
2018-03-05 19:34:08.644987=3=3=0 
2018-03-05 20:17:56.941987=3=3=0 
2018-03-06 10:26:20.295987=3=3=0 
2018-03-06 20:30:18.486487=3=2=1 
2018-03-06 20:33:58.290487=3=2=1 
2018-03-06 20:36:22.578487=3=2=1 
2018-03-06 20:36:22.578487=3=2=1 
2018-03-06 20:40:33.966487=3=2=1 
2018-03-07 09:41:44.400487=3=1=2 
2018-03-07 09:45:04.021487=3=2=1 
2018-03-07 09:45:46.447487=3=2=1 
2018-03-07 10:31:06.389487=3=2=1 
2018-03-07 10:33:53.441487=3=2=1 
2018-03-07 10:35:08.789487=3=2=1 
2018-03-07 11:01:54.239487=3=2=1 
2018-03-07 11:02:25.821487=3=2=1 
2018-03-07 11:20:39.692487=3=2=1 
2018-03-07 11:27:04.209487=3=2=1 
2018-03-07 13:56:44.844487=3=2=1 
2018-03-07 14:02:11.619487=1=0=1 
2018-03-07 15:32:44.578487=1=0=1 
2018-03-07 15:43:51.329487=3=2=1 
2018-03-07 16:24:28.947487=3=2=1 
2018-03-07 16:25:40.856487=3=2=1 
2018-03-07 16:26:09.435487=3=2=1 
2018-03-07 16:33:30.564487=3=2=1 
